variable_id,observation_period,observation_period_type,observation_year,observation_quarter,bar_demand_tonnes,official_coin_demand_tonnes,medals_imitation_coin_tonnes,total_bar_and_coin_tonnes,named_country_total_tonnes,other_and_stock_change_tonnes,world_total_bar_and_coin_sheet_tonnes,unit,source_name,source_workbook,source_publication_date,download_date,workbook_sha256,ingested_at,parser_version,underlying_providers,is_revised,prior_workbook_sha256,prior_total_bar_and_coin_tonnes,revision_reason,validation_status,availability_status,anomaly_notes
L0-005,Q3'14,quarterly,2014,3,,,,239.58488239,229.87192046,9.71296193,239.58488239,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'14,quarterly,2014,4,,,,282.73615472,269.80481801,12.93133671,282.73615472,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2015,annual,2015,,786.78322704,224.34257305,75.98280292,1087.10860301,1031.59760181,55.51100121,1087.10860302,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'15,quarterly,2015,1,,,,265.72377655,257.07443235,8.64934421,265.72377656,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'15,quarterly,2015,2,,,,217.52303625,206.87779046,10.64524579,217.52303625,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'15,quarterly,2015,3,,,,304.48379402,287.38326829,17.10052573,304.48379402,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'15,quarterly,2015,4,,,,299.37799619,280.26211071,19.11588548,299.37799619,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2016,annual,2016,,803.17143643,207.87134937,67.96096283,1079.00374863,1015.56632837,63.43742025,1079.00374862,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'16,quarterly,2016,1,,,,273.25978676,257.48895659,15.77083016,273.25978675,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'16,quarterly,2016,2,,,,223.28386749,205.18715595,18.09671153,223.28386748,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'16,quarterly,2016,3,,,,201.4161209,189.36183837,12.05428254,201.41612091,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'16,quarterly,2016,4,,,,381.04397348,363.52837746,17.51559602,381.04397348,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2017,annual,2017,,786.65702885,188.11860999,76.4521584,1051.22779724,986.40707796,64.82071927,1051.22779723,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'17,quarterly,2017,1,,,,305.4603856,294.61046675,10.84991885,305.4603856,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'17,quarterly,2017,2,,,,251.10055077,230.40883509,20.69171568,251.10055077,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'17,quarterly,2017,3,,,,234.30776934,217.04777633,17.259993,234.30776933,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'17,quarterly,2017,4,,,,260.35909153,244.33999979,16.01909174,260.35909153,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2018,annual,2018,,781.70481526,241.88379511,73.29941641,1096.88802678,1002.99333953,93.89468726,1096.88802679,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'18,quarterly,2018,1,,,,262.2794162,241.64875367,20.63066253,262.2794162,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'18,quarterly,2018,2,,,,250.42136165,229.41444381,21.00691785,250.42136166,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'18,quarterly,2018,3,,,,298.72599265,269.9216338,28.80435885,298.72599265,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'18,quarterly,2018,4,,,,285.46125628,262.00850825,23.45274803,285.46125628,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2019,annual,2019,,590.41129344,220.6523439,67.13305494,878.19669228,777.7827053,100.41398699,878.19669229,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'19,quarterly,2019,1,,,,260.01919843,240.33870402,19.68049442,260.01919844,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'19,quarterly,2019,2,,,,223.1761529,196.16031541,27.0158375,223.17615291,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'19,quarterly,2019,3,,,,151.24696772,128.81849906,22.42846866,151.24696772,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'19,quarterly,2019,4,,,,243.75437323,212.46518681,31.28918641,243.75437322,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2020,annual,2020,,554.76660232,290.63677327,69.72097342,915.12434901,857.51333254,57.61101647,915.12434901,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'20,quarterly,2020,1,,,,255.02453527,225.54334138,29.48119389,255.02453527,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'20,quarterly,2020,2,,,,164.01900002,158.62617475,5.39282527,164.01900002,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'20,quarterly,2020,3,,,,224.64737575,214.62058255,10.0267932,224.64737575,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'20,quarterly,2020,4,,,,271.43343797,258.72323386,12.71020411,271.43343797,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2021,annual,2021,,830.05859519,284.6177245,85.7623218,1200.43864149,1176.95865429,23.47998722,1200.43864151,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'21,quarterly,2021,1,,,,357.58539049,355.35740246,2.22798804,357.5853905,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'21,quarterly,2021,2,,,,251.58818468,245.84446799,5.7437167,251.58818469,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'21,quarterly,2021,3,,,,263.71866329,258.60098636,5.11767693,263.71866329,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
