variable_id,country,panel,gold_share_of_reserves,holdings_tonnes,holdings_as_of,unit,source_file,source_publication_date,download_date,ingested_at,validation_status,availability_status,parser_version
L5-002,Kyrgyz Rep.,right,0.7877392469375353,49.02179366116139,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870654+00:00,PASS,AVAILABLE,1.1.0
L5-002,Finland,right,0.2579000490645007,43.85555659232994,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870754+00:00,PASS,AVAILABLE,1.1.0
L5-002,Malaysia,right,0.0428733013950725,43.85555659232994,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870873+00:00,PASS,AVAILABLE,1.1.0
L5-002,Bulgaria,right,0.6410022086814995,41.040714130198126,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870997+00:00,PASS,AVAILABLE,1.1.0
L5-002,WAEMU3),right,0.1866631194257179,36.52249580789151,Mar 2025,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871136+00:00,PASS,AVAILABLE,1.1.0
L5-002,Peru,right,0.0475562943256556,34.6701530278996,2026-01-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871453+00:00,PASS,AVAILABLE,1.1.0
L5-002,Slovak Rep.,right,0.2335408223719675,31.69419302665547,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871591+00:00,PASS,AVAILABLE,1.1.0
L5-002,Ukraine,right,0.0691227082285973,27.37084383067401,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871670+00:00,PASS,AVAILABLE,1.1.0
L5-002,Ecuador,right,0.2819538089210035,26.281072812665236,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871737+00:00,PASS,AVAILABLE,1.1.0
L5-002,Syrian Arab Republic,right,0.166916220507699,25.8,Jun 2011,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871795+00:00,PASS,AVAILABLE,1.1.0
L5-002,Ghana,right,0.3636193981683717,24.4,Jun 2026,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871847+00:00,PASS,AVAILABLE,1.1.0
L5-002,Bolivia,right,0.8327089053432486,22.3,Jun 2026,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871897+00:00,PASS,AVAILABLE,1.1.0
L5-002,Morocco,right,0.0539183996521243,22.11949643867998,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.871950+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Afghanistan, Islamic Rep. of",right,0.2551913738640561,21.865850020217103,May 2021,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872006+00:00,PASS,AVAILABLE,1.1.0
L5-002,Nigeria,right,0.0539863219909482,21.53504649933128,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872060+00:00,PASS,AVAILABLE,1.1.0
L5-002,Guatemala,right,0.0612232433205012,15.508071288606887,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872129+00:00,PASS,AVAILABLE,1.1.0
L5-002,Bangladesh,right,0.0561229980230345,14.281469316662001,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872220+00:00,PASS,AVAILABLE,1.1.0
L5-002,Cyprus,right,0.6440787272738736,13.8720413050916,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872358+00:00,PASS,AVAILABLE,1.1.0
L5-002,Guinea,right,0.5195218692767544,13.16159831,2025-09-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872444+00:00,PASS,AVAILABLE,1.1.0
L5-002,Netherlands Antilles,right,0.6082650674960368,13.063357282821686,Sep 2010,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872510+00:00,PASS,AVAILABLE,1.1.0
L5-002,Mauritius,right,0.1460565352113722,12.416410065005755,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872573+00:00,PASS,AVAILABLE,1.1.0
L5-002,Ireland,right,0.1162766261168116,12.03695063917141,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872630+00:00,PASS,AVAILABLE,1.1.0
L5-002,Curaçao and Sint Maarten,right,0.3484203474758156,9.175453329600945,2025-12-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.872683+00:00,PASS,AVAILABLE,1.1.0
