STRUCTURE,STRUCTURE_ID,ACTION,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE,COLLECTION,UNIT_MULT,UNIT_MEASURE,TITLE_TS,DECIMALS,OBS_STATUS,OBS_PRE_BREAK,OBS_CONF
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2016-Q1,105844.605,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2016-Q2,106234.012,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2016-Q3,107544.766,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2016-Q4,104418.412,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2017-Q1,107737.078,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2017-Q2,111214.168,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2017-Q3,114185.224,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2017-Q4,117047.261,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2018-Q1,120552.241,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2018-Q2,117670.248,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
