variable_id,country,holdings_tonnes,unit,source_file,source_publication_date,download_date,workbook_sha256,ingested_at,validation_status,availability_status,parser_version
L0-002,"Venezuela, Republica Bolivariana de",161.22049080899507,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333666+00:00,PASS,AVAILABLE,1.0.0
L0-002,Libya,146.6517371154863,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333691+00:00,PASS,AVAILABLE,1.0.0
L0-002,Philippines,133.51727650772915,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333826+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Egypt, Arab Rep. of",129.66764921775373,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333929+00:00,PASS,AVAILABLE,1.0.0
L0-002,Sweden,125.71926223134584,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333976+00:00,PASS,AVAILABLE,1.0.0
L0-002,South Africa,125.53264284159123,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334012+00:00,PASS,AVAILABLE,1.0.0
L0-002,Mexico,120.04396420065473,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334042+00:00,PASS,AVAILABLE,1.0.0
L0-002,Qatar,115.23309106385524,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334069+00:00,PASS,AVAILABLE,1.0.0
L0-002,Greece,114.73982146745047,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334094+00:00,PASS,AVAILABLE,1.0.0
L0-002,Hungary,110.01213026033405,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334119+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Korea, Rep. of",104.44677475039657,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.334147+00:00,PASS,AVAILABLE,1.0.0
