date,total_holdings_tonnes
2015-07-31,32887.33125227372
2015-08-31,32867.05263669223
2015-09-30,32900.393587309874
2015-10-31,32914.80268830848
2015-11-30,32993.650547284655
2015-12-31,33018.203736864845
2016-01-31,33049.69997432143
2016-02-29,33001.25637142417
2016-03-31,33021.03850119215
2016-04-30,33086.17911341484
2016-05-31,33094.002154948575
2016-06-30,33227.59365581858
2016-07-31,33284.825957709494
2016-08-31,33396.23324668144
2016-09-30,33478.554615639805
2016-10-31,33541.81417390383
2016-11-30,33557.99119020828
2016-12-31,33593.68678151106
2017-01-31,33626.630547899695
2017-02-28,33658.450482169224
2017-03-31,33712.79035935325
2017-04-30,33731.194914820255
2017-05-31,33769.00636202271
2017-06-30,33776.288099445665
2017-07-31,33761.231729905674
2017-08-31,33898.421645816146
2017-09-30,33926.36541416374
2017-10-31,34062.079409147475
2017-11-30,34123.63657180229
2017-12-31,34003.444471638206
2018-01-31,34148.1854886585
2018-02-28,34127.61253171334
2018-03-31,33976.15417448417
2018-04-30,34085.63068401348
2018-05-31,34099.151598131044
2018-06-30,34114.44563136736
2018-07-31,34239.7641329711
2018-08-31,34091.93544909504
2018-09-30,34024.21477484661
2018-10-31,34268.58939030697
2018-11-30,34277.30651918295
2018-12-31,34233.305877436076
2019-01-31,34270.6222363628
2019-02-28,34345.48326854282
2019-03-31,34265.49052442395
2019-04-30,34237.86776346357
2019-05-31,34270.86847410384
2019-06-30,34419.169557215784
2019-07-31,34412.0902837915
2019-08-31,34505.002799730704
2019-09-30,34520.23501326751
2019-10-31,34633.637757137876
2019-11-30,34736.98817118914
2019-12-31,34781.76888333176
2020-01-31,34807.50195336657
2020-02-29,34881.86606089576
2020-03-31,34898.188961073014
2020-04-30,34936.8961594684
2020-05-31,35051.8067927997
2020-06-30,35054.20535644678
2020-07-31,35122.35433603169
2020-08-31,35119.498395699724
2020-09-30,35200.390813752
2020-10-31,35220.553581753484
2020-11-30,35229.06345385117
2020-12-31,35305.28687134044
2021-01-31,35240.13470593536
2021-02-28,35257.87411829586
2021-03-31,35418.86972671998
2021-04-30,35461.29650219147
2021-05-31,35583.202029950335
2021-06-30,35570.91524240879
2021-07-31,35624.11920652211
2021-08-31,35606.63500511083
2021-09-30,35608.48759536574
2021-10-31,35596.83659385772
2021-11-30,35591.46884156517
2021-12-31,35533.133814640816
2022-01-31,35621.77018919523
2022-02-28,35605.334061250986
2022-03-31,35489.559061787295
2022-04-30,35479.12904841463
2022-05-31,35487.77732215588
2022-06-30,35480.57718072865
2022-07-31,35375.54243616523
2022-08-31,35414.591975316376
2022-09-30,35461.43255671695
2022-10-31,35421.00146406551
2022-11-30,35587.35010955376
2022-12-31,35508.24146842871
2023-01-31,35681.56185763128
2023-02-28,35780.047083895064
2023-03-31,35717.09573584861
2023-04-30,35699.32778027139
2023-05-31,35706.6425176683
2023-06-30,35704.647619205076
2023-07-31,35743.865006071996
2023-08-31,35842.86616022656
2023-09-30,35885.91004580346
2023-10-31,35890.86316444129
2023-11-30,35964.740471749246
2023-12-31,36003.22676486554
2024-01-31,36042.61182192215
2024-02-29,36033.43384438346
2024-03-31,36037.796341106376
2024-04-30,36076.196070939084
2024-05-31,36125.62380984654
2024-06-30,36130.86810828565
2024-07-31,36161.314941354874
2024-08-31,36171.745541051714
2024-09-30,36166.871792051126
2024-10-31,36201.92958117354
2024-11-30,36255.320578862564
2024-12-31,36254.29066565911
2025-01-31,36206.15897176283
2025-02-28,36234.88727529928
2025-03-31,36245.250976745236
2025-04-30,36256.342952216815
2025-05-31,36315.765745913464
2025-06-30,36341.57701148553
2025-07-31,36364.8785047669
2025-08-31,36381.79795335184
2025-09-30,36441.84699333763
2025-10-31,36488.53947089095
2025-11-30,36528.411331263174
2025-12-31,36572.2605403109
2026-01-31,36644.2943169608
2026-02-28,36704.94710145466
2026-03-31,36693.44824381386
2026-04-30,36711.014373640945
2026-05-31,36760.91755278492
2026-06-30,36829.572111000685
